Wavelength[nm],Average,1
861.920,5466.0,5466
863.182,5737.0,5737
864.439,5378.0,5378
865.690,5498.0,5498
866.936,5510.0,5510
868.177,5452.0,5452
869.412,5602.0,5602
870.642,5479.0,5479
871.867,5523.0,5523
873.087,5557.0,5557
874.302,5505.0,5505
875.512,5589.0,5589
876.716,5510.0,5510
877.916,5488.0,5488
879.110,5620.0,5620
880.299,5516.0,5516
881.483,5503.0,5503
882.663,5591.0,5591
883.837,5428.0,5428
885.006,5621.0,5621
886.170,5549.0,5549
887.330,5459.0,5459
888.484,5570.0,5570
