Wavelength[nm],Average,1
861.920,5427.0,5427
863.182,5568.0,5568
864.439,5322.0,5322
865.690,5403.0,5403
866.936,5432.0,5432
868.177,5371.0,5371
869.412,5543.0,5543
870.642,5385.0,5385
871.867,5379.0,5379
873.087,5431.0,5431
874.302,5392.0,5392
875.512,5489.0,5489
876.716,5441.0,5441
877.916,5321.0,5321
879.110,5420.0,5420
880.299,5356.0,5356
881.483,5362.0,5362
882.663,5423.0,5423
883.837,5347.0,5347
885.006,5566.0,5566
886.170,5546.0,5546
887.330,5375.0,5375
888.484,5469.0,5469
