Wavelength[nm],Average,1
861.920,5327.0,5327
863.182,5473.0,5473
864.439,5298.0,5298
865.690,5325.0,5325
866.936,5391.0,5391
868.177,5315.0,5315
869.412,5436.0,5436
870.642,5241.0,5241
871.867,5349.0,5349
873.087,5385.0,5385
874.302,5313.0,5313
875.512,5282.0,5282
876.716,5357.0,5357
877.916,5240.0,5240
879.110,5352.0,5352
880.299,5334.0,5334
881.483,5316.0,5316
882.663,5385.0,5385
883.837,5248.0,5248
885.006,5410.0,5410
886.170,5381.0,5381
887.330,5374.0,5374
888.484,5428.0,5428
