Wavelength[nm],Average,1
861.920,5370.0,5370
863.182,5482.0,5482
864.439,5190.0,5190
865.690,5339.0,5339
866.936,5359.0,5359
868.177,5329.0,5329
869.412,5521.0,5521
870.642,5311.0,5311
871.867,5310.0,5310
873.087,5480.0,5480
874.302,5346.0,5346
875.512,5419.0,5419
876.716,5336.0,5336
877.916,5363.0,5363
879.110,5468.0,5468
880.299,5323.0,5323
881.483,5333.0,5333
882.663,5406.0,5406
883.837,5295.0,5295
885.006,5499.0,5499
886.170,5443.0,5443
887.330,5365.0,5365
888.484,5409.0,5409
