Wavelength[nm],Average,1
861.920,5376.0,5376
863.182,5503.0,5503
864.439,5319.0,5319
865.690,5368.0,5368
866.936,5398.0,5398
868.177,5308.0,5308
869.412,5493.0,5493
870.642,5297.0,5297
871.867,5334.0,5334
873.087,5465.0,5465
874.302,5379.0,5379
875.512,5467.0,5467
876.716,5362.0,5362
877.916,5306.0,5306
879.110,5412.0,5412
880.299,5397.0,5397
881.483,5327.0,5327
882.663,5410.0,5410
883.837,5287.0,5287
885.006,5485.0,5485
886.170,5426.0,5426
887.330,5361.0,5361
888.484,5461.0,5461
