Wavelength[nm],Average,1
861.920,5304.0,5304
863.182,5478.0,5478
864.439,5254.0,5254
865.690,5357.0,5357
866.936,5383.0,5383
868.177,5300.0,5300
869.412,5466.0,5466
870.642,5303.0,5303
871.867,5308.0,5308
873.087,5360.0,5360
874.302,5328.0,5328
875.512,5372.0,5372
876.716,5338.0,5338
877.916,5272.0,5272
879.110,5371.0,5371
880.299,5321.0,5321
881.483,5331.0,5331
882.663,5359.0,5359
883.837,5241.0,5241
885.006,5422.0,5422
886.170,5364.0,5364
887.330,5304.0,5304
888.484,5414.0,5414
