Wavelength[nm],Average,1
861.920,5338.0,5338
863.182,5527.0,5527
864.439,5259.0,5259
865.690,5371.0,5371
866.936,5406.0,5406
868.177,5355.0,5355
869.412,5449.0,5449
870.642,5347.0,5347
871.867,5369.0,5369
873.087,5437.0,5437
874.302,5341.0,5341
875.512,5421.0,5421
876.716,5343.0,5343
877.916,5278.0,5278
879.110,5391.0,5391
880.299,5371.0,5371
881.483,5367.0,5367
882.663,5360.0,5360
883.837,5279.0,5279
885.006,5425.0,5425
886.170,5385.0,5385
887.330,5328.0,5328
888.484,5379.0,5379
