Wavelength[nm],Average,1
861.920,5356.0,5356
863.182,5526.0,5526
864.439,5263.0,5263
865.690,5311.0,5311
866.936,5364.0,5364
868.177,5304.0,5304
869.412,5434.0,5434
870.642,5277.0,5277
871.867,5279.0,5279
873.087,5402.0,5402
874.302,5333.0,5333
875.512,5357.0,5357
876.716,5311.0,5311
877.916,5238.0,5238
879.110,5358.0,5358
880.299,5327.0,5327
881.483,5291.0,5291
882.663,5397.0,5397
883.837,5239.0,5239
885.006,5413.0,5413
886.170,5381.0,5381
887.330,5332.0,5332
888.484,5411.0,5411
