Wavelength[nm],Average,1
861.920,5324.0,5324
863.182,5493.0,5493
864.439,5338.0,5338
865.690,5372.0,5372
866.936,5421.0,5421
868.177,5336.0,5336
869.412,5487.0,5487
870.642,5325.0,5325
871.867,5342.0,5342
873.087,5434.0,5434
874.302,5402.0,5402
875.512,5446.0,5446
876.716,5404.0,5404
877.916,5316.0,5316
879.110,5426.0,5426
880.299,5368.0,5368
881.483,5353.0,5353
882.663,5392.0,5392
883.837,5339.0,5339
885.006,5469.0,5469
886.170,5448.0,5448
887.330,5365.0,5365
888.484,5455.0,5455
