Wavelength[nm],Average,1
861.920,5389.0,5389
863.182,5489.0,5489
864.439,5244.0,5244
865.690,5356.0,5356
866.936,5347.0,5347
868.177,5308.0,5308
869.412,5512.0,5512
870.642,5268.0,5268
871.867,5329.0,5329
873.087,5456.0,5456
874.302,5312.0,5312
875.512,5419.0,5419
876.716,5386.0,5386
877.916,5232.0,5232
879.110,5431.0,5431
880.299,5351.0,5351
881.483,5298.0,5298
882.663,5377.0,5377
883.837,5287.0,5287
885.006,5396.0,5396
886.170,5359.0,5359
887.330,5388.0,5388
888.484,5422.0,5422
