"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda"
"124",63.6468747283317,4.5,360,100,4919.8572548865,"H4W261","Green",525
"125",60.9333008007453,4,360,100,4731.73174067927,"H4W261","Green",525
"126",70.4551999658178,5.5,360,100,4953.11802431439,"H4W261","Green",525
"127",68.6588835560168,5,360,100,5369.62793944936,"H4W261","Green",525
"128",78.0937300200332,6.5,360,100,4910.69208837116,"H4W261","Green",525
"129",75.3052669752757,6,360,100,4685.72229326646,"H4W261","Green",525
"130",83.7194107562385,7.5,360,100,4803.37066788157,"H4W261","Green",525
"131",81.1899417591294,7,360,100,4850.52308916219,"H4W261","Green",525
"132",91.0105318699873,8.5,360,100,5111.39293198221,"H4W261","Green",525
"133",88.3531454464607,8,360,100,4611.98962858759,"H4W261","Green",525
"134",97.3396485630083,9.5,360,100,4922.13124080516,"H4W261","Green",525
"135",92.6983442433577,9,360,100,4677.67172075508,"H4W261","Green",525
"136",87.5144813721179,10,385,100,4318.2456817627,"C7W260","Green",525
"137",41.8497154970434,3.5,385,100,2378.08951424729,"C7W260","Green",525
"138",17.1072961373391,3,385,100,34.3455697813306,"C7W260","Green",525
"139",52.7183295662469,4.5,385,100,3813.40282696833,"C7W260","Green",525
"140",48.3730653349292,4,385,100,3364.74713974538,"C7W260","Green",525
"141",54.8011714052985,5.5,385,100,4232.88544415882,"C7W260","Green",525
"142",57.1453017938918,5,385,100,4014.93092133607,"C7W260","Green",525
"143",67.3275370861578,6.5,385,100,4204.91658579048,"C7W260","Green",525
"144",64.5838359069521,6,385,100,4149.26568969075,"C7W260","Green",525
"145",73.0835949010313,7.5,385,100,4262.51260998857,"C7W260","Green",525
"146",70.4726630822051,7,385,100,4232.13244917414,"C7W260","Green",525
"147",78.5918444880643,8.5,385,100,4281.84779955377,"C7W260","Green",525
"148",75.6435023217353,8,385,100,4277.24632234154,"C7W260","Green",525
"149",84.4586913417052,9.5,385,100,4320.89049577012,"C7W260","Green",525
"150",76.9248544284401,9,385,100,4310.69273546313,"C7W260","Green",525
"151",100.633241082411,10,390,100,4427.17720031738,"E7W260","Green",525
"152",53.4972355461169,3.5,390,100,4210.46590838852,"E7W260","Green",525
"153",41.835118858954,3,390,100,2590.53659146482,"E7W260","Green",525
"154",66.5500214118655,4.5,390,100,4454.74950129813,"E7W260","Green",525
"155",61.2823537251766,4,390,100,4336.02689695263,"E7W260","Green",525
"156",71.9233641311226,5.5,390,100,4436.92491536502,"E7W260","Green",525
"157",68.5213927505872,5,390,100,4655.32676491721,"E7W260","Green",525
"158",78.3035110777319,6.5,390,100,4387.94258942941,"E7W260","Green",525
"159",73.85979059228,6,390,100,4379.9147604801,"E7W260","Green",525
"160",84.6777186264438,7.5,390,100,4611.45272429421,"E7W260","Green",525
"161",82.2376828810804,7,390,100,4404.0156296782,"E7W260","Green",525
"162",90.8599739889763,8.5,390,100,4365.12894824148,"E7W260","Green",525
"163",88.1462179128597,8,390,100,4584.01890779295,"E7W260","Green",525
"164",97.4283546968853,9.5,390,100,4397.21709064275,"E7W260","Green",525
"165",91.3040512485913,9,390,100,4410.77348369043,"E7W260","Green",525
"166",114.8233739702,10,300,100,4324.33911132812,"H9W261","Green",525
"167",60.3986897519888,3.5,300,100,3893.7582365782,"H9W261","Green",525
"168",41.6097178683386,3,300,100,1129.70261146209,"H9W261","Green",525
"169",75.893379451228,4.5,300,100,4126.46567860148,"H9W261","Green",525
"170",67.0552470654389,4,300,100,4239.40854924331,"H9W261","Green",525
"171",85.746038554102,5.5,300,100,4322.87485200605,"H9W261","Green",525
"172",79.8293518476225,5,300,100,4237.01739668818,"H9W261","Green",525
"173",91.3590052952611,6.5,300,100,4315.35540011863,"H9W261","Green",525
"174",88.4996280181257,6,300,100,4218.51172896462,"H9W261","Green",525
"175",99.3737486343671,7.5,300,100,4525.57772734018,"H9W261","Green",525
"176",96.4459954437843,7,300,100,4278.21183887048,"H9W261","Green",525
"177",105.291045440385,8.5,300,100,4356.51672022217,"H9W261","Green",525
"178",102.063343879506,8,300,100,4323.28499701828,"H9W261","Green",525
"179",112.191313385966,9.5,300,100,4322.11768776893,"H9W261","Green",525
"180",108.984322647363,9,300,100,4369.0726396898,"H9W261","Green",525
"181",51.7747411777802,10,360,100,2078.07243347168,"H4W261","Yellow",595
"182",22.2161895360316,3.5,360,100,137.067043580755,"H4W261","Yellow",595
"183",15.5897435897436,3,360,100,22.9942715694937,"H4W261","Yellow",595
"184",32.2064462350653,4.5,360,100,440.161447514098,"H4W261","Yellow",595
"185",26.782470703125,4,360,100,343.8188994626,"H4W261","Yellow",595
"186",41.0792894630602,5.5,360,100,632.773582113074,"H4W261","Yellow",595
"187",36.9536239933352,5,360,100,508.702453181423,"H4W261","Yellow",595
"188",44.5725874598614,6.5,360,100,1078.52761974803,"H4W261","Yellow",595
"189",44.2403529566706,6,360,100,817.67979341053,"H4W261","Yellow",595
"190",45.1439580519584,7.5,360,100,1985.85320983847,"H4W261","Yellow",595
"191",44.7718472773612,7,360,100,1304.9777772011,"H4W261","Yellow",595
"192",49.786138544266,8.5,360,100,1824.87633128696,"H4W261","Yellow",595
"193",46.8807294233613,8,360,100,2082.32916808382,"H4W261","Yellow",595
"194",49.9533891118774,9.5,360,100,1992.55785814127,"H4W261","Yellow",595
"195",50.4093679458239,9,360,100,2406.01916991779,"H4W261","Yellow",595
"196",48.6704254228601,10,385,100,1725.06785583496,"C7W260","Yellow",595
"197",19.3230769230769,3.5,385,100,22.3986340863339,"C7W260","Yellow",595
"198",NA,3,385,100,6.75171165205781,"C7W260","Yellow",595
"199",34.9487577639752,4.5,385,100,186.07283354132,"C7W260","Yellow",595
"200",30.5966057441253,4,385,100,97.6972981888457,"C7W260","Yellow",595
"201",37.6347102342787,5.5,385,100,505.187606234166,"C7W260","Yellow",595
"202",37.2982635342186,5,385,100,310.618599295819,"C7W260","Yellow",595
"203",43.0345047923323,6.5,385,100,742.517350423049,"C7W260","Yellow",595
"204",40.1204935881926,6,385,100,591.208970102979,"C7W260","Yellow",595
"205",43.5577689243028,7.5,385,100,1040.98520700258,"C7W260","Yellow",595
"206",43.0682547727657,7,385,100,892.814512224592,"C7W260","Yellow",595
"207",45.5136473695796,8.5,385,100,1361.8249241152,"C7W260","Yellow",595
"208",44.6878007699711,8,385,100,1274.10243382439,"C7W260","Yellow",595
"209",47.8401517956313,9.5,385,100,1603.6682874726,"C7W260","Yellow",595
"210",34.5328529037728,9,385,100,1509.45136769922,"C7W260","Yellow",595
"211",54.4423458608105,10,390,100,2361.85539627075,"E7W260","Yellow",595
"212",18.0125,3.5,390,100,174.09239741401,"E7W260","Yellow",595
"213",43,3,390,100,99.941505608363,"E7W260","Yellow",595
"214",33.9447949526814,4.5,390,100,766.75552547742,"E7W260","Yellow",595
"215",25.2183219178082,4,390,100,373.220407019664,"E7W260","Yellow",595
"216",41.079301840258,5.5,390,100,1002.41529697496,"E7W260","Yellow",595
"217",35.8444496818289,5,390,100,760.651821928591,"E7W260","Yellow",595
"218",43.9113496562538,6.5,390,100,1348.47227602352,"E7W260","Yellow",595
"219",41.9183615819209,6,390,100,1405.91067404227,"E7W260","Yellow",595
"220",48.0332383665717,7.5,390,100,1886.14773542533,"E7W260","Yellow",595
"221",44.324669231491,7,390,100,1583.9447329478,"E7W260","Yellow",595
"222",49.4289519803715,8.5,390,100,2253.94636334368,"E7W260","Yellow",595
"223",48.2853525665618,8,390,100,1946.00004758141,"E7W260","Yellow",595
"224",53.224100506479,9.5,390,100,2321.64359092721,"E7W260","Yellow",595
"225",45.0089911886351,9,390,100,2150.89841011732,"E7W260","Yellow",595
"226",71.9181590918405,10,300,100,2178.53805541992,"H9W261","Yellow",595
"227",32.5830334190231,3.5,300,100,131.451512409316,"H9W261","Yellow",595
"228",22.5490196078431,3,300,100,29.277623084092,"H9W261","Yellow",595
"229",47.7463585434174,4.5,300,100,292.003347926375,"H9W261","Yellow",595
"230",41.400439238653,4,300,100,216.109127051063,"H9W261","Yellow",595
"231",56.846985645933,5.5,300,100,757.986831873182,"H9W261","Yellow",595
"232",50.9732599671783,5,300,100,648.043760274566,"H9W261","Yellow",595
"233",61.8156883887054,6.5,300,100,1182.57107743027,"H9W261","Yellow",595
"234",57.8178117411798,6,300,100,1214.01001466957,"H9W261","Yellow",595
"235",64.2502693965517,7.5,300,100,1496.61767198565,"H9W261","Yellow",595
"236",62.0511076225362,7,300,100,1160.52831958327,"H9W261","Yellow",595
"237",68.5002820078962,8.5,300,100,1727.90957551636,"H9W261","Yellow",595
"238",66.8587811107216,8,300,100,1693.55021650233,"H9W261","Yellow",595
"239",68.6034275281132,9.5,300,100,2317.57670126003,"H9W261","Yellow",595
"240",65.9055884286654,9,300,100,2126.29547038403,"H9W261","Yellow",595
"241",81.2211789693711,10,360,100,5836.22814559937,"H4W261","UV",405
"242",32.0452181577788,3.5,360,100,992.117764389594,"H4W261","UV",405
"243",NA,3,360,100,2.29644422089336,"H4W261","UV",405
"244",51.9830283899378,4.5,360,100,3944.9107404641,"H4W261","UV",405
"245",44.9246253812492,4,360,100,2239.10718900822,"H4W261","UV",405
"246",59.3855193328279,5.5,360,100,4262.25651380003,"H4W261","UV",405
"247",57.4273206808418,5,360,100,3624.49758387854,"H4W261","UV",405
"248",66.7979318672721,6.5,360,100,5391.13982676999,"H4W261","UV",405
"249",63.9768560521766,6,360,100,4329.50370624509,"H4W261","UV",405
"250",71.4313372507727,7.5,360,100,5616.70486355535,"H4W261","UV",405
"251",68.6096340159832,7,360,100,4842.31074276898,"H4W261","UV",405
"252",75.3451502639773,8.5,360,100,4776.46109449528,"H4W261","UV",405
"253",72.3360769569488,8,360,100,5773.96464817256,"H4W261","UV",405
"254",79.4657208302999,9.5,360,100,4217.59700577669,"H4W261","UV",405
"255",79.8082759982882,9,360,100,4924.15343779946,"H4W261","UV",405
"256",49.5450093159436,10,385,100,3053.4055519104,"C7W260","UV",405
"257",NA,3.5,385,100,9.32172471151716,"C7W260","UV",405
"258",NA,3,385,100,9.2956263002867,"C7W260","UV",405
"259",NA,4.5,385,100,7.73511752248058,"C7W260","UV",405
"260",NA,4,385,100,8.33146807693009,"C7W260","UV",405
"261",28.5128865979381,5.5,385,100,500.344513571678,"C7W260","UV",405
"262",17.416,5,385,100,59.2307593240997,"C7W260","UV",405
"263",40.5230424578622,6.5,385,100,1408.07798238899,"C7W260","UV",405
"264",36.4771778821075,6,385,100,1122.7015744743,"C7W260","UV",405
"265",43.7833578564238,7.5,385,100,2066.72026958766,"C7W260","UV",405
"266",42.1797762823655,7,385,100,1703.17842430166,"C7W260","UV",405
"267",46.6634344202554,8.5,385,100,2483.51981578526,"C7W260","UV",405
"268",45.4342205851692,8,385,100,2281.08411315883,"C7W260","UV",405
"269",48.4193538878736,9.5,385,100,2916.07400147269,"C7W260","UV",405
"270",45.117883418223,9,385,100,2731.75719275284,"C7W260","UV",405
"271",70.239266873788,10,390,100,4827.356590271,"E7W260","UV",405
"272",17.5114503816794,3.5,390,100,71.882454598599,"E7W260","UV",405
"273",17.5114503816794,3,390,100,71.8733842515079,"E7W260","UV",405
"274",44.2433051583853,4.5,390,100,2190.08378576924,"E7W260","UV",405
"275",34.5157050983316,4,390,100,1032.50533692128,"E7W260","UV",405
"276",54.6246297739673,5.5,390,100,3566.55521870677,"E7W260","UV",405
"277",52.1414395099541,5,390,100,3223.52347670597,"E7W260","UV",405
"278",58.5508357335631,6.5,390,100,4571.08443932243,"E7W260","UV",405
"279",58.9465270935961,6,390,100,3583.35316674126,"E7W260","UV",405
"280",64.3668090540779,7.5,390,100,4614.89558478006,"E7W260","UV",405
"281",63.1686419976477,7,390,100,5217.49282816998,"E7W260","UV",405
"282",67.0111073282833,8.5,390,100,5139.61661814275,"E7W260","UV",405
"283",67.3228364555798,8,390,100,4345.53603289913,"E7W260","UV",405
"284",70.2277156868936,9.5,390,100,5958.61771495062,"E7W260","UV",405
"285",66.4189749871577,9,390,100,4601.85301326316,"E7W260","UV",405
"286",97.8234005468762,10,300,100,4528.57109832764,"H9W261","UV",405
"287",28.3423217550274,3.5,300,100,504.529854910084,"H9W261","UV",405
"288",19.5,3,300,100,8.69087129565222,"H9W261","UV",405
"289",59.3603825341951,4.5,300,100,4588.19791734862,"H9W261","UV",405
"290",50.5502162542748,4,300,100,2360.90793265899,"H9W261","UV",405
"291",72.2253451350816,5.5,300,100,3918.86205846392,"H9W261","UV",405
"292",64.073656047344,5,300,100,4419.51682064449,"H9W261","UV",405
"293",78.2479217073019,6.5,300,100,4593.75466826786,"H9W261","UV",405
"294",75.9565638291119,6,300,100,4532.52602530416,"H9W261","UV",405
"295",85.9901733838206,7.5,300,100,4857.45957093434,"H9W261","UV",405
"296",83.1189599099863,7,300,100,4544.85059444346,"H9W261","UV",405
"297",90.5598306220679,8.5,300,100,4674.31097383613,"H9W261","UV",405
"298",88.0361881785283,8,300,100,4886.94672643847,"H9W261","UV",405
"299",95.9548375336098,9.5,300,100,4726.5601157126,"H9W261","UV",405
"300",100.251547070441,9,300,100,4763.64320671104,"H9W261","UV",405
