"","x","y","signal","voltage","nAppearance"
"230",150,125,6146,0,2
"231",47,127,7255,0,1
"232",57,128,9958,0,1
"233",113,129,1890,0,1
"234",145,129,7221,0,1
"235",148,129,663,0,1
"236",149,129,666,0,1
"237",113,130,1892,0,3
"238",145,130,7222,0,2
"239",146,130,7221,0,1
"240",47,134,6726,0,1
"241",48,134,6743,0,1
"242",106,136,1013,0,1
"243",176,140,6313,0,1
"244",176,141,6314,0,1
"245",128,145,4394,0,2
"246",128,146,4389,0,2
"247",128,147,6703,0,1
"248",127,148,6700,0,1
"249",128,148,6704,0,2
"250",148,151,6285,0,2
"251",63,154,8460,0,1
"252",63,155,8454,0,1
"253",114,165,4974,0,2
"254",178,167,7391,0,1
"255",140,191,9742,0,1
"256",156,196,7108,0,1
"257",157,196,7109,0,1
"258",76,207,8943,0,1
"259",76,208,8941,0,1
"260",108,88,3544,0,2
"261",142,89,7623,0,1
"262",143,89,7624,0,1
"263",89,92,9147,0,1
"264",89,93,9151,0,1
"265",128,97,4838,0,1
"266",129,97,4839,0,2
"267",128,98,4838,0,1
"268",129,98,4838,0,1
"269",125,135,7257,0,2
"270",61,136,9836,0,1
"271",125,136,7269,0,1
"272",98,140,8841,0,2
"273",99,140,8843,0,1
"274",60,141,8168,0,1
"275",59,150,3889,0,1
"276",133,157,9358,0,1
"277",56,167,8784,0,1
"278",55,186,2840,0,1
"279",132,89,3952,0,2
"280",132,90,3950,0,2
"281",77,95,9813,0,1
"282",77,96,9819,0,1
"283",96,106,9052,0,2
"284",97,106,9050,0,2
"285",96,107,9051,0,2
"286",97,107,9052,0,1
"287",128,119,2643,0,1
"288",129,119,2641,0,1
"289",183,125,7461,0,1
"290",129,140,7741,0,1
"291",124,141,4488,0,1
"292",57,163,4519,0,1
"293",125,167,8731,0,1
"294",126,167,8733,0,1
"295",111,68,6335,0,1
"296",120,69,8344,0,1
"297",120,70,8339,0,1
"298",94,84,2081,0,1
"299",87,92,5573,0,1
"300",88,92,5575,0,1
"301",87,93,5571,0,1
"302",88,93,5574,0,1
"303",75,98,7485,0,2
"304",156,112,2979,0,1
"305",156,113,2983,0,1
"306",87,117,3071,0,2
"307",88,117,3067,0,1
"308",87,118,3072,0,1
"309",88,118,3070,0,1
"310",108,122,4418,0,1
"311",109,122,4415,0,1
"312",166,136,6491,0,1
"313",166,137,6488,0,2
"314",149,146,1666,0,1
"315",137,164,9620,0,1
"316",58,169,7969,0,1
"317",166,187,4457,0,1
"318",141,99,5247,0,1
"319",138,120,8782,0,1
"320",153,124,7287,0,1
"321",157,126,7274,0,1
"322",84,130,3249,0,1
"323",85,130,3243,0,2
"324",187,138,1846,0,2
"325",156,139,958,0,1
"326",187,144,5969,0,2
"327",187,145,5969,0,1
"328",171,147,890,0,1
"329",171,151,8963,0,1
"330",172,151,8957,0,1
"331",171,165,1487,0,1
"332",156,179,293,0,1
"333",156,180,293,0,1
"334",119,190,3564,0,1
"335",104,70,3827,0,2
"336",105,70,3831,0,1
"337",85,74,1085,0,1
"338",151,76,2205,0,1
"339",65,94,4094,0,1
"340",60,109,247,0,1
"341",61,109,253,0,1
"342",158,114,5187,0,3
"343",158,115,5182,0,1
"344",49,116,8660,0,1
"345",138,130,2540,0,1
"346",139,130,2548,0,1
"347",169,133,6920,0,1
"348",84,136,6170,0,1
"349",50,142,8207,0,1
"350",164,143,4925,0,1
"351",165,143,4926,0,1
"352",164,144,4926,0,1
"353",165,144,4929,0,1
"354",166,144,4925,0,1
"355",164,145,4923,0,2
"356",165,145,4926,0,1
"357",166,145,4924,0,1
"358",181,146,1053,0,1
"359",175,147,4288,0,1
"360",176,147,4283,0,1
"361",93,166,3527,0,1
"362",94,166,3534,0,1
"363",152,169,3242,0,1
"364",152,170,3244,0,1
"365",132,176,8835,0,1
"366",133,176,8839,0,1
"367",132,177,8835,0,1
"368",133,177,8838,0,1
"369",173,180,7077,0,1
"370",73,182,7240,0,1
"371",74,188,9545,0,1
"372",117,217,1348,0,1
"373",116,71,7928,0,1
"374",87,82,1233,0,1
"375",88,82,1234,0,1
"376",87,83,1229,0,1
"377",149,89,2822,0,1
"378",157,92,5542,0,2
"379",165,92,2943,0,1
"380",166,92,2938,0,1
"381",94,94,9928,0,1
"382",94,95,9926,0,1
"383",55,104,6471,0,1
"384",133,105,7676,0,2
"385",145,107,9413,0,1
"386",74,117,4778,0,1
"387",75,117,4782,0,1
"388",178,121,4190,0,1
"389",179,121,4183,0,1
"390",178,122,4174,0,1
"391",143,124,6118,0,1
"392",143,125,6123,0,1
"393",128,135,4428,0,2
"394",90,136,5011,0,1
"395",90,137,5011,0,2
"396",91,138,8756,0,1
"397",99,151,3282,0,1
"398",170,165,484,0,1
"399",125,170,9818,0,1
"400",60,171,7459,0,1
"401",61,171,7463,0,1
"402",60,172,7461,0,2
"403",61,172,7461,0,1
"404",77,187,845,0,1
"405",112,76,3756,0,1
"406",113,76,3755,0,1
"407",112,77,3746,0,1
"408",85,92,8728,0,1
"409",127,99,369,0,1
"410",60,101,6431,0,1
"411",61,101,6430,0,1
"412",60,102,6431,0,1
"413",93,118,897,0,1
"414",94,118,900,0,1
"415",80,125,946,0,1
"416",81,125,945,0,2
"417",121,129,4100,0,1
"418",122,129,4094,0,1
"419",161,132,440,0,1
"420",162,132,440,0,2
"421",161,133,436,0,1
"422",162,133,439,0,2
"423",135,136,6232,0,1
"424",181,141,1510,0,2
"425",181,142,1516,0,2
"426",182,142,1510,0,1
"427",79,144,4475,0,1
"428",135,150,601,0,2
"429",147,159,2792,0,2
"430",148,159,2794,0,1
"431",161,159,7722,0,3
"432",88,176,2188,0,1
"433",88,177,2197,0,1
"434",113,209,1899,0,1
"435",97,69,8822,0,1
"436",143,72,2134,0,1
"437",144,72,2142,0,1
"438",165,102,1528,0,1
"439",122,104,66,0,1
"440",83,106,4846,0,1
"441",117,106,77,0,1
"442",118,106,72,0,1
"443",117,107,74,0,1
"444",118,107,71,0,1
"445",129,126,1873,0,1
"446",84,128,2549,0,1
"447",99,131,3456,0,1
"448",146,134,6618,0,1
"449",146,143,6643,0,1
"450",144,144,1368,0,1
"451",155,150,6560,0,1
"452",80,155,3201,0,1
"453",104,163,2071,0,1
"454",104,164,2069,0,1
"455",157,200,370,0,1
"456",134,71,4688,0,1
"457",133,72,4689,0,1
"458",134,72,4694,0,1
"459",90,76,9875,0,1
"460",90,77,9868,0,1
"461",98,84,4771,0,4
"462",98,85,4774,0,2
"463",99,85,4772,0,2
"464",87,101,5664,0,1
"465",88,101,5665,0,1
"466",60,107,2695,0,1
"467",85,108,4904,0,1
"468",110,111,3255,0,1
"469",111,111,3259,0,1
"470",164,113,4596,0,2
"471",118,115,5204,0,1
"472",182,115,5202,0,1
"473",53,132,1854,0,1
"474",127,134,9562,0,1
"475",128,134,9568,0,1
"476",127,135,9570,0,1
"477",128,135,9572,0,1
"478",54,176,5511,0,1
"479",142,180,2095,0,3
"480",159,193,7507,0,1
"481",160,193,7505,0,1
"482",159,194,7506,0,1
"483",137,72,2257,0,1
"484",138,72,2258,0,1
"485",100,82,3994,0,1
"486",101,82,3996,0,1
"487",60,118,8344,0,1
"488",60,119,8357,0,1
"489",88,120,4114,0,1
"490",89,120,4108,0,2
"491",140,120,7919,0,1
"492",81,123,9369,0,1
"493",80,124,9369,0,1
"494",81,124,9369,0,2
"495",66,125,3509,0,1
"496",177,132,5106,0,1
"497",164,136,819,0,1
"498",187,138,7819,0,1
"499",178,144,9426,0,1
"500",168,145,4679,0,2
"501",178,145,9424,0,2
"502",132,147,9172,0,1
"503",132,148,9169,0,2
"504",163,163,1785,0,2
"505",124,167,90,0,1
"506",165,167,2105,0,1
"507",166,167,2105,0,1
"508",124,168,90,0,1
"509",143,184,9693,0,1
"510",127,79,6904,0,1
"511",128,79,6902,0,1
"512",127,80,6906,0,2
"513",128,80,6906,0,1
