"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda","comment","depth","Id"
"47",63.5457943925234,3.5,300,100,779.884218434614,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"48",57.1481147393108,3,300,100,562.967521446645,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"49",75.2841533353456,4.5,300,100,828.748405394595,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"50",69.9415460776847,4,300,100,785.300204750834,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"51",80.1329013992487,5.5,300,100,1040.00478992501,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"52",80.4349915040722,5,300,100,877.880186090069,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"53",82.1544739002366,6.5,300,100,1028.36592269933,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"54",80.3558884558935,6,300,100,1068.17363045868,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"55",84.6891158922437,7.5,300,100,1117.99595103003,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"56",84.4242149470268,7,300,100,1057.78502844992,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"57",85.8981760374833,8.5,300,100,1227.6109405232,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"58",84.8902885537442,8,300,100,1242.70683595837,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"59",85.058473500476,9.5,300,100,1527.98187199943,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"60",87.1497095974981,9,300,100,1380.76542469382,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"61",172.705559982836,10,400,100,4430.93477630615,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"62",82.6444937860425,3.5,400,100,3196.74339854198,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"63",71.990353523493,3,400,100,3089.45745991401,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"64",101.19058622727,4.5,400,100,3717.83858195774,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"65",90.2145120362115,4,400,100,3829.20879523961,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"66",121.079853764195,5.5,400,100,4113.95879785308,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"67",110.552040622025,5,400,100,3862.55186454544,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"68",138.287099260544,6.5,400,100,4251.6194201505,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"69",130.681065949785,6,400,100,4080.23641704449,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"70",154.896562766866,7.5,400,100,4193.13979003223,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"71",149.875794016389,7,400,100,4247.07743862112,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"72",167.373963625831,8.5,400,100,4227.61055007446,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"73",160.118007055091,8,400,100,4226.30443307981,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
